ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
EFA,0.2353498920180498,0.4625,0.6007790447759653,1.0,,0.5217462878214206
VYM,0.20875606445367817,0.1125,0.5096197177829267,0.6939091166476957,0.9637883940765338,0.5827873440226521
QQQM,0.46252783966386896,0.25,0.4763592823564017,0.7746309143235579,0.31387140829606625,0.3060283804694961
IWM,0.578136764005339,0.30000000000000004,0.39517928189197415,1.0,0.8323782234957021,0.3441049616435652
VB,0.5065366432427407,0.1,0.41743371588393446,0.6465679272991669,0.849839327317034,0.8096170941296551
IWD,0.24095746930829104,0.2875,0.44441468596964706,0.7685127417389686,1.0,0.6567181378197745
VT,0.26457780836580536,0.1375,0.4997311868185173,0.7501603717979246,0.726912674396808,0.4332960194909955
IVW,0.43967610951998504,0.2875,0.45297710243721206,0.7607576504246502,0.38966874648528516,0.12305336976920292
SCHX,0.3216109180499056,0.1,0.4628843846594457,0.9614067785753149,0.7033901936105831,0.21683732262206573
VEU,0.24345320848722155,0.1125,0.5774930013365189,0.760776942294978,,0.208244164224805
SCHF,0.24145974059642056,0.1,0.6296481446123836,0.9318120182646006,0.8222437940176205,0.3658841734435191
IXUS,0.2482972146901928,0.15000000000000002,0.600506832243649,0.6994698611641961,,0.48115102228953377
SCHG,0.4711234062314372,0.1125,0.45361569016497505,0.9007561384275229,0.38061885761722414,0.6884239291475985
IWR,0.37885991901716815,0.2875,0.4096370241553871,0.6719359447892894,0.9715006828589027,0.1150528429855464
XLF,0.2849463394336721,0.1625,0.4768480341818595,0.950819183136528,0.1035669335618456,0.1
SMH,0.950975754348688,0.5,0.5796590909090908,0.8878718748904395,0.11107436467343278,0.6008626082375798
QUAL,0.30111098140851456,0.25,0.4256998276458173,0.6543903297312583,0.6602977800390971,0.6924241925394269
VV,0.32383427421170274,0.1,0.46109239138848335,0.5369551773339996,0.6937739335350669,0.19402100549830448
IVE,0.26574718317427726,0.2875,0.43278942859944164,0.590409187590246,1.0,0.7128699832087715
JEPI,0.18555389221556884,0.5,0.5777657944031334,0.7801929330328587,0.9715006828589027,0.6703486649326709
IWB,0.32193425119201324,0.25,0.44933546883949915,0.6027212829634561,0.7352515866427444,0.5617489217397034
